Modèle,R² Score,RMSE,MAE
Gradient Boosting,0.6875489543475042,49.78859324048766,4.840070427491098
Random Forest,0.5124353175208187,62.194930096752884,4.952460922255856
Voting Regressor,0.5063292548567722,62.58317039838195,8.150407150581024
LightGBM,0.4550470164758399,65.75342533110415,5.690922870858568
Linear Regression,0.03818565491328885,87.35434053849488,15.913193689416163
